ANOENC,CPRO,ZONAUR,NMIEMB,NMIEM3,NMIEM4,NMIEM7,UC1,UC2,TIPHOGAR_9,TIPHOGAR_10,TIPHOGAR_11,NUMACTI,NUMOCUP,NUMESTU,SITUOCU_HOG,SITUACT_HOG,SEXOSP,NACIONASP,ECIVILSP,UNIONSP,ESTUDIOS_SP,SITUACT_SP,JORNADASP,IMPEXACPSP,INTERINPSP,SITPROF,SECTOR,TIPOCONT,SITSOCI,SITSOCI_RE,REGTEN,TIPOEDIF,ZONARES,TIPOCASA,NHABIT,ANNOCON,SUPERF,AGUACALI,FUENAGUA,CALEF,FUENCALE,PAGAGC,GC_AGUAFRI,ALQAGFRI,FUENPRIN,IMPEXAC,IMPUEXAC,INTERIN,IMPU_INTER,NUMPERI,CODIGO,GASTO,FACTOR,QAGUA,EDAD_SP,numero_HOGAR,vivienda,HOGAR
2006,48,2,04,00,04,01,3.1,2.5,6,5,5,03,03,01,1,1,1,,2,,3,1,,,,1,6,1,3,1,1,4,7,2,05,6,090,1,2,1,2,1,6,,2,1427,1,03,6,04,04411,80788.57,466.877978,173.04001,2,0,0,0
2006,01,2,05,00,05,01,3.8,3,6,5,5,03,01,01,5,4,1,,2,,2,1,,,,2,-9,-9,5,3,2,1,7,1,06,1,130,1,4,1,4,6,,,1,1763,1,04,6,01,04411,58868.29,613.467002,95.95999428,2,0,0,0
2006,20,1,02,00,02,00,1.7,1.5,2,3,3,00,00,00,8,8,1,,2,,3,4,,,,1,6,1,8,5,1,3,3,2,04,6,090,1,2,1,2,1,6,,3,1274,1,03,6,01,04411,42296.7,388.756453,108.7999946,3,0,0,0
2006,01,2,02,00,02,00,1.7,1.5,2,3,3,02,02,00,2,2,1,,2,,8,1,,,,1,1,1,2,2,2,1,7,1,06,6,300,1,4,1,4,6,,,2,5416,1,08,6,-9,04411,18877.31,406.750916,46.40999997,3,0,0,0
2006,01,1,02,00,02,00,1.7,1.5,2,6,6,01,01,00,-9,-9,1,,4,,2,1,,,,2,-9,-9,5,3,2,3,3,3,05,6,050,1,2,1,2,1,6,,1,2151,1,05,6,02,04411,11110.09,330.657461,33.59999791,2,0,0,0
2006,01,1,03,00,03,01,2.4,2,5,4,4,02,02,01,2,2,1,,2,,4,1,,,,2,-9,-9,5,3,2,4,2,1,06,6,120,1,4,1,4,1,6,,1,3200,6,07,6,02,04411,47099.75,545.136016,86.39999673,2,0,0,0
2006,01,1,02,00,02,00,1.7,1.5,2,3,3,00,00,00,8,8,1,,2,,3,4,,,,1,6,1,8,5,1,4,3,2,06,6,100,1,2,1,2,1,6,,3,1264,1,03,6,01,04411,6888.02,401.399537,17.16000983,3,0,0,0
2006,48,1,04,02,02,02,2.7,2.1,5,4,4,01,01,00,5,5,1,,2,,7,1,,,,2,-9,-9,5,3,1,4,3,2,05,1,100,1,2,1,2,1,6,,1,2709,1,06,6,01,04411,10594.94,178.660347,59.30213491,2,0,0,0
2006,48,1,02,00,02,00,1.7,1.5,2,3,3,01,01,00,5,5,1,,2,,2,1,,,,2,-9,-9,5,3,1,4,3,2,04,1,070,1,2,1,2,1,6,,1,1442,6,03,6,01,04411,37666.18,399.344567,94.3200011,3,0,0,0
2006,20,1,04,00,04,00,3.1,2.5,3,6,6,03,02,00,7,4,1,,2,,2,3,,,,1,6,1,7,4,2,3,3,2,05,6,065,1,3,6,,1,6,,4,2634,1,06,1,03,04411,54581.43,389.867327,140.0000108,3,0,0,0
2006,48,1,03,00,03,00,2.4,2,3,6,6,03,03,00,1,1,1,,2,,2,1,,,,3,-9,-9,5,3,1,4,3,2,06,1,117,1,2,1,2,1,6,,1,5738,1,08,6,03,04411,40426.13,420.404849,96.15999933,3,0,0,0
2006,20,1,03,00,03,00,2.4,2,3,6,6,01,01,00,6,6,1,,2,,3,4,,,,1,6,1,8,5,1,3,3,2,05,6,062,1,3,6,,1,6,,3,2201,1,05,6,03,04411,30154.45,376.930569,80.00001189,3,0,0,0
2006,01,1,04,00,04,00,3.1,2.5,3,6,6,04,04,00,1,1,1,,2,,5,1,,,,3,-9,-9,5,3,1,3,3,2,05,6,100,1,4,1,4,1,6,,1,2226,1,05,1,-9,04411,64149.88,620.165113,103.4400011,3,0,0,0
2006,01,1,03,00,03,00,2.4,2,3,6,6,02,02,00,3,3,1,,2,,3,1,,,,1,6,1,3,1,1,4,2,1,05,6,120,1,4,1,4,1,6,,2,1485,1,03,1,-9,04411,35771.23,423.528631,84.46000431,3,0,0,0
2006,01,1,06,04,02,04,3.7,2.7,5,4,4,02,02,00,2,2,1,,2,,8,1,,,,1,6,1,4,2,1,3,3,2,05,1,090,1,3,1,3,1,6,,2,2541,1,06,6,02,04411,68688.59,572.404908,120.0000018,2,0,0,0
2006,01,1,01,00,01,00,1,1,1,1,1,00,00,00,8,8,6,,3,,2,4,,,,2,-9,-9,8,5,1,4,3,2,06,6,120,1,4,1,4,1,6,,3,1182,1,03,6,01,04411,37820.38,745.37598,50.74000372,3,0,0,0
2006,01,1,04,00,04,00,3.1,2.5,3,6,6,01,01,00,6,6,6,,2,,7,4,,,,1,6,1,8,5,1,4,3,2,06,6,105,1,2,1,2,1,6,,-9,1867,1,04,6,04,04411,80792.06,504.950381,159.9999981,3,0,0,0
