"ORDENCCC","ORDENTRA","NUTS1","CNACE","ESTRATO2","CONTROL","MERCADO","REGULACION","SEXO","TIPOPAIS","CNO1","RESPONSA","ESTU","ANOANTI","MESANTI","TIPOJOR","TIPOCON","FIJODISM","FIJODISD","VAL","VAN","PUENTES","JAP","JSP1","JSP2","HEXTRA","DRELABM","SIESPM1","DSIESPM1","SIESPM2","DSIESPM2","SALBASE","EXTRAORM","PHEXTRA","COMSAL","COMSALTT","IRPFMES","COTIZA","BASE","DRELABAM","DRELABAD","SIESPA1","DSIESPA1","SIESPA2","DSIESPA2","SIESPA3","DSIESPA3","SIESPA4","DSIESPA4","SALBRUTO","GEXTRA","VESP","ANOS2","FACTOTAL","DIASMES","DIASRELABA","DIASANO","SALMES","SALMOR","SALNETO","SALANUAL","SALAOR","JMP1","SALHORA","MUJER","MUJERPRIV","ANTIGUEDAD","PROV"
48001162,14,"NORESTE","H1","2","PRIVADO","MNACIONAL","3","HOMBRE","ESPANOL","P0",0,"SECUNDARIA1",7,4,"COMPLETA","INDEFINIDO",0,0,22,0,0,1724,38,35,0,31,6,0,6,0,1102.36,0,0,489.4,27.7,206.93,123.36,1942.66,12,0,6,0,6,0,6,0,6,0,23446.35,4210.86,51.95,3,46.38,31,365,365,1591.76,1591.76,1261.47,23498.3,19235.49,167.8375,9.48393535413718,0,0,7.33333333333333,"BIZKAIA"
1005978,22,"NORESTE","C4","3","PRIVADO","MMUNDIAL","3","HOMBRE","ESPANOL","M0",0,"SECUNDARIA2",0,6,"COMPLETA","TEMPORAL",0,0,0,8,0,1840,40,0,0,31,6,0,6,0,453.56,0,0,1017.91,179.65,29.46,104.02,1625.19,7,17,6,0,6,0,6,0,6,0,11773.31,1495.7158389145,0,4,9.91,31,229.94,229.94,1471.47,1471.47,1337.99,18688.6063755762,17192.8905366617,174,8.45672413793103,0,0,0.5,"ARABA"
48090537,11,"NORESTE","H1","3","PUBLICO","MNACIONAL","3","HOMBRE","ESPANOL","N0",0,"SECUNDARIA2",6,3,"COMPLETA","INDEFINIDO",0,0,0,35,6,1728,40,0,0,31,6,0,6,0,4309.38,0,0,1555.17,0,976.93,228.41,3597,12,0,6,0,6,0,6,0,6,0,57701.26,4246.44,54.43,2,16.22,31,365,365,5864.55,5864.55,4659.21,57755.69,53454.82,174,33.7043103448276,0,0,6.25,"BIZKAIA"
20000112,4,"NORESTE","C8","3","PRIVADO","MMUNDIAL","4","HOMBRE","ESPANOL","C0",1,"POSGRADO",2,6,"PARCIAL","INDEFINIDO",0,0,26,0,0,1649,39,0,0,31,6,0,6,0,1333.22,0,0,2047.62,0,676.17,228.41,3597,12,0,6,0,6,0,6,0,6,0,46120.6,6095.74,992.76,2,113.6,31,365,365,3380.84,3380.84,2476.26,47113.36,40024.86,169.65,19.9283230179782,0,0,2.5,"GIPUZKOA"
20005938,5,"NORESTE","K0","1","PRIVADO","MREGIONAL","1","MUJER","ESPANOL","D0",0,"POSGRADO",4,1,"PARCIAL","INDEFINIDO",0,0,23,0,0,1736,39,0,0,31,6,0,6,0,647.67,0,0,495.21,0,34.29,84.67,1333.36,12,0,6,0,6,0,1,365,6,0,16000.32,2285.76,0,3,37.68,31,365,365,1142.88,1142.88,1023.92,16000.32,13714.56,169.65,6.73669319186561,1,1,4.08333333333333,"GIPUZKOA"
20004068,13,"NORESTE","N0","3","PRIVADO","MMUNDIAL","1","MUJER","ESPANOL","O0",0,"SECUNDARIA1",9,0,"PARCIAL","TEMPORAL",0,0,0,31,0,1592,35,0,0,31,6,0,6,0,1032.16,0,0,127.19,0,92.75,88.7,1408.05,12,0,6,0,6,0,6,0,6,0,16998.72,3223.17,0,5,42.52,31,365,365,1159.35,1159.35,977.9,16998.72,13775.55,152.25,7.61477832512315,1,1,9,"GIPUZKOA"
20002918,5,"NORESTE","C7","3","PRIVADO","MREGIONAL","3","HOMBRE","ESPANOL","D0",0,"POSGRADO",13,3,"PARCIAL","INDEFINIDO",0,0,0,30,0,1693,40,0,0,31,1,5,6,0,3069.92,0,0,0,0,552.59,224.91,3541.84,12,0,1,5,6,0,6,0,6,0,42767.11,5928.04,0,4,36.59,31,365,365,3069.92,3069.92,2292.42,42767.11,36839.07,174,17.6432183908046,0,0,13.25,"GIPUZKOA"
48004523,2,"NORESTE","J0","1","PRIVADO","MNACIONAL","5","MUJER","ESPANOL","C0",0,"POSGRADO",15,0,"COMPLETA","INDEFINIDO",0,0,0,30,0,1800,40,0,0,31,6,0,6,0,2034,0,0,0,0,203.4,147.86,2328.41,12,0,6,0,6,0,6,0,6,0,27940.92,3532.68,0,3,8.62,31,365,365,2034,2034,1682.74,27940.92,24408.24,174,11.6896551724138,1,1,15,"BIZKAIA"
48021230,1,"NORESTE","C6","3","PRIVADO","MMUNDIAL","4","HOMBRE","ESPANOL","D0",1,"SECUNDARIA1",28,8,"PARCIAL","INDEFINIDO",0,0,23,0,0,1648,37,30,0,31,6,0,6,0,3351.93,0,0,794.32,0,953.64,228.41,3597,12,0,6,0,1,8,6,0,6,0,58389.11,8361.15826330532,0,5,32.76,23,365,357,4146.25,4146.25,2964.2,59697.5494397759,51336.3911764706,163.125,25.4176245210728,0,0,28.6666666666667,"BIZKAIA"
48003457,14,"NORESTE","N0","3","PRIVADO","MNACIONAL","2","MUJER","ESPANOL","O0",0,"PRIMARIA",0,11,"PARCIAL","INDEFINIDO",0,0,0,31,0,1592,35,0,0,31,6,0,6,0,1332.11,0,0,191.16,0,110.25,96.07,1513.07,12,0,6,0,6,0,6,0,6,0,16709.48,0,0,4,50.74,31,365,365,1523.27,1523.27,1316.95,16709.48,16709.48,152.25,10.0050574712644,1,1,0.916666666666667,"BIZKAIA"
48008553,1,"NORESTE","J0","2","PRIVADO","MNACIONAL","3","MUJER","ESPANOL","C0",1,"POSGRADO",17,1,"COMPLETA","INDEFINIDO",0,0,22,0,0,1756,40,0,0,31,6,0,6,0,3158.7,0,0,0,0,460.27,200.58,2707.46,12,0,6,0,6,0,6,0,6,0,37904.44,5414.92,0,4,47.15,31,365,365,3158.7,3158.7,2497.85,37904.44,32489.52,174,18.1534482758621,1,1,17.0833333333333,"BIZKAIA"
20001487,23,"NORESTE","P0","3","PUBLICO","MREGIONAL","2","HOMBRE","ESPANOL","B0",0,"GRADO",4,7,"PARCIAL","TEMPORAL",0,0,22,0,8,1592,35,0,0,31,6,0,6,0,2227.28,0,0,32.45,0,316.36,164.68,2593.39,11,20,6,0,1,5,1,30,6,0,31602.26,4608.52954636463,0,3,90.48,26,354.62,349.62,2259.73,2259.73,1778.69,32992.4629597849,28383.9334134203,152.25,14.8422331691297,0,0,4.58333333333333,"GIPUZKOA"
1006790,13,"NORESTE","Q0","3","PUBLICO","MREGIONAL","2","MUJER","ESPANOL","B0",0,"GRADO",13,0,"PARCIAL","INDEFINIDO",0,0,28,0,5,1614,40,0,0,31,6,0,6,0,958.98,0,0,4196.11,650.34,965.11,169.06,3597,12,0,6,0,6,0,6,0,6,0,54234.44,5090.54,0,6,77.8,31,365,365,5155.09,5155.09,4020.92,54234.44,49143.9,174,29.6269540229885,1,1,13,"ARABA"
20001161,2,"NORESTE","P0","1","PRIVADO","MREGIONAL","4","MUJER","ESPANOL","B0",0,"POSGRADO",16,1,"PARCIAL","INDEFINIDO",0,0,60,0,0,1472,32,0,0,31,6,0,6,0,3002.56,0,0,254.49,0,781.69,141.12,3300,12,0,6,0,6,0,6,0,6,0,40964.69,5137.14,0,4,219.26,31,365,365,3257.05,3257.05,2334.24,40964.69,35827.55,139.2,23.3983477011494,1,1,16.0833333333333,"GIPUZKOA"
