"ESTU";"ENTREV";"REGISTRO";"CUES";"TIPO_TEL";"CCAA";"PROV";"MUN";"TAMUNI";"CAPITAL";"SEXO";"EDAD";"A1";"P0";"EMPADRONA";"P2";"P3_1";"P3_2";"P3_3";"P3_4";"P4";"P4A";"P5";"P5A";"P5B";"P6_1";"P6_2";"P7_1";"P7_2";"P7_3";"P7_4";"P7_5";"P7_6";"P7_7";"P7_9";"P7B_1";"P7B_2";"P7B_3";"P7B_4";"P7B_5";"P8";"P8A_1601";"P8A_1602";"P8A_1";"P8A_2";"P8A_1605";"P8A_3";"P8A_1604";"P8A_6";"P8A_8995";"P8A_9998";"P8A_9999";"P9";"P9A_1601";"P9A_1602";"P9A_1";"P9A_2";"P9A_1605";"P9A_3";"P9A_1604";"P9A_6";"P9A_8995";"P9A_9998";"P9A_9999";"P10";"P10A_1601";"P10A_1602";"P10A_1";"P10A_2";"P10A_1605";"P10A_3";"P10A_1604";"P10A_6";"P10A_8995";"P10A_9998";"P10A_9999";"P11";"P11A";"P11B";"PARTICIPACIONVASCAS";"RECUVOTOVASCAS";"DUDAPART";"P13A_1";"P13A_2";"P14_1";"P14_2";"DECISVOTO";"CAMBIOVOTO";"ABSTENCION";"P17A";"P17B";"P17C";"P17D";"ESCIDEOL";"PARTICIPACIONVASCA20";"RECUVOTOVASCAS20";"PARTICIPACIONG";"RECUVOTOG";"CERCANIA";"ESCUELA";"NIVELESTENTREV";"RELIGION";"ECIVIL";"SITLAB";"RELALAB";"CNO11";"INGRESHOG";"CLASESOCIAL";"LENGUA";"NIVELVASCO_1";"NIVELVASCO_2";"NIVELVASCO_3";"NIVELVASCO_4";"SENTIMIENTO";"SINCERIDAD";"IA_I501";"IA_I502";"IA_I503";"IA_I503";"IA_I505";"IA_I505";"IA_I505";"IA_I508";"IA_I509";"IA_I510";"IA_I511";"IA_I512";"IA_I513";"IA_I514";"IA_I515";"IA_I516";"IA_I517";"IA_I517";"IA_I519";"IA_I519";"IA_I521";"IA_I522";"IA_I523";"IA_I524";"IA_I525";"IA_I526";"IA_I528";"IA_I529";"IA_I530";"IA_I531";"IA_I532";"IA_I533";"IA_I534";"IA_I535";"IA_I536";"IA_I537";"IA_I538";"IA_I539";"IA_I540";"IA_I541";"IA_I542";"IA_I543";"IA_OBS0";"IA_OBS1";"IA_OBS2";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C2B_1";"IA_C2B_2";"IA_C2B_3";"IA_C2B_4";"IA_C2B_5";"IA_C2B_6";"IA_C2B_7";"IA_C2B_8";"IA_C2B_9";"IA_C2B_10";"IA_C2B_11";"IA_C2B_12";"IA_C2B_13";"IA_C2B_14";"IA_C2B_15";"IA_C2B_16";"IA_C2B_17";"IA_C2B_18";"IA_C2B_19";"IA_C2B_20";"IA_C2B_21";"IA_C2B_22";"IA_C2B_23";"IA_C2B_24";"IA_C2B_25";"IA_C3";"IA_C4";"RVAUTO";"P13ACOM";"RVAUTO20";"RECUERDO";"CERCANIAR";"ESTUDIOS";"CNO11R";"CLASESUB";"PESO";"PESOPROV"
3459;0;209;11;2;16;1;59;5;1;2;70;1;1;41;2;1;4;2;3;2;0;20;1;1;4;3;2;2;2;2;2;2;1;2;1;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;6;0;0;6;7;1;1;0;0;0;0;0;5;1;1;1;1;1;3;4;2;3;2;0;0;5;3;1;3;4;3;4;3;1;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;14;0;0;0;0;9;0;"";"";"";17;5;24;5;17;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;1;1;1;3;12;2;1,9506;0,97361
3459;0;412;12;2;16;48;0;4;3;2;62;1;1;62;2;3;3;2;4;2;0;998;0;0;3;4;1;2;2;2;1;2;2;2;1;1;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;4;0;1;9999;0;0;0;0;0;0;0;0;0;0;0;0;8;1;9999;1;9999;9999;3;8;5;1;4;0;0;3;3;1;3;4;4;4;3;3;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;8;0;1;0;0;7;0;"";"";"";17;5;24;5;11;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";9999;0;9999;9999;9999;6;16;2;0,49687;0,8379
3459;0;413;13;2;16;48;20;5;2;1;42;1;1;20;4;2;2;2;3;1;2;998;0;0;3;4;1;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;2;5;1;1602;1;1602;1604;8;5;5;1;0;0;0;0;0;3;1;1603;1;1601;8;3;9;6;5;1;1;2;4;3;1;3;4;3;3;3;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;20;0;0;0;0;32;2;"";"";"";17;5;24;5;15;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1602;16021604;1603;1601;8;6;2;2;0,73585;0,80072
3459;0;420;14;2;16;48;0;3;3;2;54;1;1;54;2;4;2;2;2;2;0;64;1601;1;3;1;2;2;2;2;2;2;1;2;1;1;1;2;2;1;1;1;1;1;2;1;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;2;2;2;2;2;2;2;2;2;0;0;1;1601;6;0;0;7;9;1;1;0;0;0;0;0;6;1;1601;1;1601;1602;3;7;2;4;4;0;0;4;12;3;1;1;1;1;5;1;0;0;0;0;0;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;20;0;"";"";"";17;5;24;5;17;2;1;0;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;1601;0;1601;1601;1602;5;16;5;0,74992;0,99767
3459;0;430;15;2;16;20;0;1;3;1;48;1;2;17;2;3;4;4;4;2;0;998;0;0;3;6;2;2;2;2;2;2;1;2;1;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;4;0;1;1601;6;0;0;99;99;1;1;0;0;0;0;0;1;1;1601;1;1601;8;3;6;1;1;1;1;9;5;12;1;4;4;4;4;3;2;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;7;0;"";"";"";17;5;24;5;18;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1601;0;1601;1601;8;4;9;5;1,42581;1,18582
3459;0;453;16;2;16;20;0;4;3;1;36;1;1;36;2;2;2;2;2;2;0;6;1602;2;2;3;1;1;2;1;1;2;2;2;1;2;1;2;2;1;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2;2;2;1;1;2;2;2;2;1;1;2;1;2;2;1;2;2;2;2;2;1;4;0;1;1602;1;1602;1601;3;8;3;1;0;0;0;0;0;3;1;1603;1;1602;1602;3;9;6;2;1;1;3;5;3;3;1;1;1;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;"";"";"";17;5;24;5;20;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1602;16011602;1603;1602;1602;6;3;2;0,67372;0,87666
3459;0;464;17;2;16;20;0;2;3;1;57;1;1;57;4;4;4;3;3;2;0;998;0;0;3;4;2;2;2;2;2;2;1;2;1;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;4;0;1;1601;6;0;0;4;3;1;1;0;0;0;0;0;5;1;1601;1;1601;1601;3;4;1;1;1;1;8;6;96;3;1;1;3;3;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;8;0;"";"";"";20;5;24;1;39;1;1;0;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;1601;0;1601;1601;1601;3;8;6;2,71727;0,94766
3459;0;479;18;2;16;48;0;4;3;1;46;1;1;46;5;4;3;4;3;1;1;998;0;0;2;97;1;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;4;0;1;1602;1;1605;1602;5;8;3;1;0;0;0;0;0;3;8;0;1;21;1605;3;9;6;2;1;1;2;2;5;1;2;2;2;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;2;0;"";"";"";17;5;24;5;14;2;1;0;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;1602;16021605;9998;21;21;6;2;4;0,58944;0,77467
3459;0;480;19;2;16;1;59;5;1;1;44;1;1;42;1;3;3;3;3;1;1;9;1605;1;2;1;1;1;2;2;2;2;2;2;1;2;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;2;2;1;2;2;2;2;2;2;1;4;0;1;1605;6;0;0;6;1;3;1;0;0;0;0;0;4;1;1601;1;1;1;3;6;5;2;1;3;5;3;3;1;3;3;3;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;"";"";"";17;5;24;5;15;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1605;0;1601;1;1;4;5;2;1,16482;0,95071
3459;0;498;20;2;16;48;0;3;3;1;62;1;1;62;1;2;3;3;4;2;0;15;1602;1;3;4;1;2;2;2;2;2;2;2;1;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;2;2;2;2;2;2;1;4;0;1;1602;6;0;0;4;8;1;1;0;0;0;0;0;3;1;9999;1;9999;1602;3;9;9;5;1;1;3;9;98;3;1;1;1;1;8;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;5;0;"";"";"";17;5;24;5;16;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1602;0;9999;9999;1602;6;3;8;0,59418;0,92004
