"ORDENCCC","ORDENTRA","NUTS1","CNACE","ESTRATO2","CONTROL","MERCADO","REGULACION","SEXO","TIPOPAIS","CNO1","RESPONSA","ESTU","ANOANTI","MESANTI","TIPOJOR","TIPOCON","FIJODISM","FIJODISD","VAL","VAN","PUENTES","JAP","JSP1","JSP2","HEXTRA","DRELABM","SIESPM1","DSIESPM1","SIESPM2","DSIESPM2","SALBASE","EXTRAORM","PHEXTRA","COMSAL","COMSALTT","IRPFMES","COTIZA","BASE","DRELABAM","DRELABAD","SIESPA1","DSIESPA1","SIESPA2","DSIESPA2","SIESPA3","DSIESPA3","SIESPA4","DSIESPA4","SALBRUTO","GEXTRA","VESP","ANOS2","FACTOTAL","DIASMES","DIASRELABA","DIASANO","SALMES","SALMOR","SALNETO","SALANUAL","SALAOR","JMP1","SALHORA","MUJER","MUJERPRIV","ANTIGUEDAD","PROV"
28013281,2,"MADRID","C8","2","PRIVADO","MMUNDIAL","3","HOMBRE","ESPANOL","A0",1,"POSGRADO",19,3,"PARCIAL","INDEFINIDO",0,0,28,0,0,1666,38,45,0,31,6,0,6,0,5105.14,0,0,5060.96,0,4307.38,228.41,3597,11,26,6,0,6,0,6,0,6,0,157338.96,36973.9271255061,28101.8927125506,4,2.82,31,360.62,360.62,10166.1,10166.1,5630.31,187351.852226721,122276.032388664,168.5625,60.3105672969967,0,0,19.25,"MADRID"
39054470,3,"NOROESTE","Q0","1","PRIVADO","MREGIONAL","1","MUJER","ESPANOL","H0",0,"PRIMARIA",1,2,"PARCIAL","INDEFINIDO",0,0,0,20,1,780,15,0,0,31,6,0,6,0,359.54,0,0,0,0,37.39,22.83,359.54,6,0,6,0,6,0,6,0,6,0,2200.31,0,0,5,19.14,31,182.52,182.52,359.54,359.54,299.32,4400.13779311856,4400.13779311856,65.25,5.51019157088123,1,1,1.16666666666667,"CANTABRIA"
28030533,5,"MADRID","R0","1","PRIVADO","MREGIONAL","2","HOMBRE","ESPANOL","O0",0,"SECUNDARIA1",12,0,"COMPLETA","INDEFINIDO",0,0,0,30,0,1778,40,0,0,31,6,0,6,0,910.09,0,0,424.38,0,173.48,104.52,1645.96,12,0,6,0,6,0,6,0,6,0,19341.67,3737.94,0,3,19.22,31,365,365,1334.47,1334.47,1056.47,19341.67,15603.73,174,7.66936781609195,0,0,12,"MADRID"
28045882,13,"MADRID","H1","3","PRIVADO","MNACIONAL","3","HOMBRE","ESPANOL","N0",0,"SECUNDARIA1",12,9,"COMPLETA","INDEFINIDO",0,0,0,30,0,1773,40,0,0,31,6,0,6,0,1480.64,0,0,820.66,152.17,322.18,146.13,2301.3,12,0,6,0,6,0,6,0,6,0,35094.91,5892.74,0,4,52.86,31,365,365,2301.3,2301.3,1832.99,35094.91,29202.17,174,13.2258620689655,0,0,12.75,"MADRID"
28001198,39,"MADRID","H1","3","PRIVADO","MMUNDIAL","3","HOMBRE","ESPANOL","L0",0,"GRADO",21,8,"COMPLETA","INDEFINIDO",0,0,30,0,4,1712,40,0,0,31,6,0,6,0,1122.33,0,0,615,150.87,317.03,147.65,2325.04,12,0,1,19,6,0,6,0,6,0,31830,0,165.59,4,152.54,31,365,365,1737.33,1737.33,1272.65,31995.59,31830,174,9.98465517241379,0,0,21.6666666666667,"MADRID"
6056618,2,"CENTRO","I0","1","PRIVADO","MNACIONAL","2","MUJER","ESPANOL","G0",0,"SECUNDARIA1",1,8,"PARCIAL","INDEFINIDO",0,0,0,30,0,576,12,0,0,31,6,0,6,0,319.04,0,0,0,0,5.67,23.56,367.94,12,0,6,0,6,0,6,0,6,0,4775.81,473.15,6.9,4,99.91,31,365,365,319.04,319.04,289.81,4782.71,4302.66,52.2,6.11187739463602,1,1,1.66666666666667,"BADAJOZ"
20001988,5,"NORESTE","P0","1","PRIVADO","MREGIONAL","2","HOMBRE","ESPANOL","B0",0,"POSGRADO",1,2,"PARCIAL","TEMPORAL",0,0,0,30,39,1472,32,0,0,31,6,0,6,0,2510.82,0,0,0,0,426.84,187.47,2929.24,12,0,6,0,6,0,6,0,6,0,35148.38,5021.02,0,3,237.54,31,365,365,2510.82,2510.82,1896.51,35148.38,30127.36,139.2,18.0375,0,0,1.16666666666667,"GIPUZKOA"
41140097,1,"SUR","I0","1","PRIVADO","MREGIONAL","2","HOMBRE","ESPANOL","G0",0,"PRIMARIA",1,4,"COMPLETA","TEMPORAL",0,0,0,25,0,1800,40,0,0,31,6,0,6,0,1228,0,0,0,0,115.69,77.99,1228.1,10,0,6,0,6,0,6,0,6,0,12281,0,0,4,271.13,31,304.2,304.2,1228,1228,1034.32,14735.5851413544,14735.5851413544,174,7.05747126436782,0,0,1.33333333333333,"SEVILLA"
8086535,2,"ESTE","G1","2","PRIVADO","MREGIONAL","3","MUJER","ESPANOL","C0",0,"POSGRADO",7,11,"COMPLETA","INDEFINIDO",0,0,0,30,7,1840,40,0,0,31,6,0,6,0,2726.25,0,0,369.17,0,684.23,228.41,3597,12,0,6,0,6,0,6,0,6,0,44884.89,6097.98,50.61,3,56.26,31,365,365,3095.42,3095.42,2182.78,44935.5,38786.91,174,17.7897701149425,1,1,7.91666666666667,"BARCELONA"
37001245,16,"CENTRO","C6","3","PUBLICO","MUE","4","HOMBRE","ESPANOL","M0",0,"SECUNDARIA2",11,0,"COMPLETA","INDEFINIDO",0,0,25,0,10,1720,40,0,0,31,6,0,6,0,879.03,0,0,1725.81,301.83,554.57,194.85,3068.43,12,0,6,0,6,0,6,0,6,0,36108.8,469.02,699.66,5,16.73,31,365,365,2604.84,2604.84,1855.42,36808.46,35639.78,174,14.9703448275862,0,0,11,"SALAMANCA"
39025276,1,"NOROESTE","M0","1","PRIVADO","MREGIONAL","1","MUJER","ESPANOL","E0",0,"SECUNDARIA2",11,7,"COMPLETA","INDEFINIDO",0,0,0,31,2,1754,40,0,0,31,6,0,6,0,1400,0,0,211.69,0,168,103.72,1633.33,12,0,6,0,6,0,6,0,6,0,19600,0,0,4,160,31,365,365,1611.69,1611.69,1339.97,19600,19600,174,9.26258620689655,1,1,11.5833333333333,"CANTABRIA"
8002455,7,"ESTE","G2","3","PRIVADO","MNACIONAL","1","MUJER","ESPANOL","D0",0,"SECUNDARIA2",8,0,"PARCIAL","INDEFINIDO",0,0,0,31,0,1573,35,0,0,31,6,0,6,0,785.85,799.84,0,13.99,0,63.99,67.99,1070.65,12,0,6,0,6,0,1,365,6,0,10467.02,1668.78,38.4,3,211.52,31,365,365,1599.68,799.84,1467.7,10505.42,8798.24,152.25,10.5069293924466,1,1,8,"BARCELONA"
31001836,6,"NORESTE","G1","1","PRIVADO","MREGIONAL","2","HOMBRE","ESPANOL","D0",0,"SECUNDARIA1",9,11,"COMPLETA","INDEFINIDO",0,0,0,33,0,1730,40,0,0,31,6,0,6,0,1341.73,0,0,501.54,0,238.22,124.61,1962.28,12,0,1,3,6,0,6,0,6,0,23997.77,2832.66,0,3,128.14,31,365,365,1843.27,1843.27,1480.44,23997.77,21165.11,174,10.5935057471264,0,0,9.91666666666667,"NAVARRA"
41000042,6,"SUR","K0","3","PRIVADO","MNACIONAL","3","HOMBRE","ESPANOL","D0",0,"SECUNDARIA2",10,6,"PARCIAL","INDEFINIDO",0,0,22,0,0,1673,37,30,0,31,6,0,6,0,1945.59,0,0,947.83,0,694.26,228.41,3597,12,0,6,0,6,0,6,0,6,0,53463.56,2146.43,271.47,3,15.82,31,365,365,2893.42,2893.42,1970.75,53735.03,51317.13,163.125,17.7374406130268,0,0,10.5,"SEVILLA"
37020169,9,"CENTRO","P0","2","PRIVADO","MNACIONAL","2","MUJER","ESPANOL","H0",0,"SECUNDARIA1",10,0,"PARCIAL","INDEFINIDO",9,12,18,0,0,230,6,25,0,31,6,0,6,0,145.52,0,0,30.79,0,3.57,6.84,176.31,9,12,6,0,6,0,6,0,6,0,1692.57,0,0,4,81.14,31,285.78,285.78,176.31,176.31,165.9,2161.76096997691,2161.76096997691,27.9125,6.31652485445589,1,1,10,"SALAMANCA"
8021501,16,"ESTE","G2","3","PRIVADO","MREGIONAL","5","HOMBRE","ESPANOL","P0",0,"PRIMARIA",13,2,"COMPLETA","INDEFINIDO",0,0,0,31,0,1798,39,40,8,31,6,0,6,0,1054.9,0,66.98,42.73,0,0,85.17,1341.19,12,0,6,0,6,0,6,0,6,0,15567.47,2146.14,21.31,4,52.61,31,365,365,1164.61,1164.61,1079.44,15588.78,13421.33,180.55,6.45034616449737,0,0,13.1666666666667,"BARCELONA"
7007980,6,"ESTE","G1","2","PRIVADO","MREGIONAL","2","HOMBRE","ESPANOL","L0",0,"BASICA",0,10,"COMPLETA","TEMPORAL",0,0,22,0,0,1770,39,0,0,31,1,31,6,0,2117.98,0,0,0,0,317.7,161.77,2547.54,12,0,1,49,6,0,6,0,6,0,27124.59,1708.86,0,5,17.32,31,365,365,2117.98,2117.98,1638.51,27124.59,25415.73,169.65,12.4844090775125,0,0,0.833333333333333,"BALEARES"
33015766,2,"NOROESTE","M0","1","PRIVADO","MREGIONAL","1","MUJER","ESPANOL","D0",0,"SECUNDARIA2",4,11,"COMPLETA","INDEFINIDO",0,0,0,30,0,1760,40,0,0,31,6,0,6,0,1100,0,0,100,0,86.75,76.62,1206.49,12,0,6,0,6,0,6,0,6,0,14420.06,20.06,0,4,50.47,31,365,365,1200,1200,1036.63,14420.06,14400,174,6.89655172413793,1,1,4.91666666666667,"ASTURIAS"
28111598,3,"MADRID","E0","1","PRIVADO","MREGIONAL","2","HOMBRE","ESPANOL","D0",1,"POSGRADO",14,8,"COMPLETA","INDEFINIDO",0,0,22,0,5,1708,42,0,0,31,6,0,6,0,1450.53,0,0,1605.05,0,735.47,228.41,3597,12,0,6,0,6,0,6,0,6,0,47127.4,10445.98,1368.6,3,10.88,31,365,365,3055.58,3055.58,2091.7,48496,36681.42,182.7,16.7245758073344,0,0,14.6666666666667,"MADRID"
7019702,9,"ESTE","N0","3","PRIVADO","MREGIONAL","2","HOMBRE","ESPANOL","I0",0,"SECUNDARIA1",12,0,"COMPLETA","INDEFINIDO",0,0,0,31,0,1782,40,0,0,31,6,0,6,0,989.14,0,0,225.67,75.92,90.35,81.96,1290.72,12,0,6,0,6,0,6,0,6,0,16847.06,2241.74,0,4,24.18,31,365,365,1214.81,1214.81,1042.5,16847.06,14605.32,174,6.98166666666667,0,0,12,"BALEARES"
3064126,2,"ESTE","C1","1","PRIVADO","MREGIONAL","1","MUJER","ESPANOL","L0",0,"PRIMARIA",0,6,"COMPLETA","TEMPORAL",0,0,0,17,0,1826,40,0,0,31,6,0,6,0,817.38,0,0,0,0,16.35,52.32,817.38,7,0,6,0,6,0,6,0,6,0,5912.38,2064.73372781065,0,6,20.5,31,212.94,212.94,817.38,817.38,748.71,10134.3979524749,8069.66422466422,174,4.69758620689655,1,1,0.5,"ALICANTE"
39045185,16,"NOROESTE","C1","2","PRIVADO","MUE","3","MUJER","ESPANOL","L0",0,"SECUNDARIA1",11,7,"COMPLETA","INDEFINIDO",0,0,23,0,6,1772,40,0,0,31,6,0,6,0,811.84,0,0,64.9,59.78,21.75,47.73,1015.51,12,0,6,0,6,0,6,0,6,0,12223.94,1629.86,0,5,29.31,31,365,365,876.74,876.74,807.26,12223.94,10594.08,174,5.03873563218391,1,1,11.5833333333333,"CANTABRIA"
28409752,10,"MADRID","M0","3","PRIVADO","MNACIONAL","5","HOMBRE","ESPANOL","C0",1,"POSGRADO",1,4,"COMPLETA","TEMPORAL",0,0,0,30,2,1800,40,0,0,31,6,0,6,0,2337.33,0,0,386.51,0,748.51,201.08,3166.67,12,0,6,0,6,0,6,0,6,0,31546.4,0,5,2,28.79,31,365,365,2723.84,2723.84,1774.25,31551.4,31546.4,174,15.6542528735632,0,0,1.33333333333333,"MADRID"
8071646,21,"ESTE","C1","3","PRIVADO","MNACIONAL","1","HOMBRE","ESPANOL","L0",0,"SECUNDARIA1",5,11,"COMPLETA","INDEFINIDO",0,0,0,30,0,1800,40,0,0,31,6,0,6,0,880.88,0,0,345.61,0,147.18,88.24,1389.53,12,0,6,0,6,0,6,0,6,0,17026.65,4236.32,0,2,11.27,31,365,365,1226.49,1226.49,991.07,17026.65,12790.33,174,7.04879310344828,0,0,5.91666666666667,"BARCELONA"
8029854,8,"ESTE","C7","3","PRIVADO","MUE","2","HOMBRE","ESPANOL","D0",0,"PRIMARIA",38,8,"COMPLETA","INDEFINIDO",0,0,0,30,11,1750,40,0,0,31,6,0,6,0,1517.83,0,0,1310.63,0,593.98,207.86,3273.34,12,0,6,0,6,0,6,0,6,0,39154.06,115.35,0,6,9.95,31,365,365,2828.46,2828.46,2026.62,39154.06,39038.71,174,16.2555172413793,0,0,38.6666666666667,"BARCELONA"
48003035,2,"NORESTE","S0","1","PRIVADO","MREGIONAL","2","HOMBRE","ESPANOL","C0",1,"POSGRADO",12,8,"PARCIAL","INDEFINIDO",0,0,25,0,0,1383,31,0,0,31,6,0,6,0,1630.17,0,0,0,0,117.37,103.52,1630.17,12,0,6,0,6,0,1,77,6,0,19562.1,0,0,3,121.86,31,365,365,1630.17,1630.17,1409.28,19562.1,19562.1,134.85,12.088765294772,0,0,12.6666666666667,"BIZKAIA"
35018604,3,"CANARIAS","C8","1","PRIVADO","MNACIONAL","2","HOMBRE","ESPANOL","D0",0,"SECUNDARIA2",7,11,"COMPLETA","INDEFINIDO",0,0,0,30,0,1772,40,0,0,31,6,0,6,0,1180.34,0,0,599.58,0,242.06,97.86,1540.99,12,0,6,0,6,0,6,0,6,0,21777.31,0,0,2,11.57,31,365,365,1779.92,1779.92,1440,21777.31,21777.31,174,10.2294252873563,0,0,7.91666666666667,"LAS PALMAS"
3005828,37,"ESTE","H1","3","PRIVADO","MNACIONAL","3","MUJER","ESPANOL","E0",0,"POSGRADO",4,0,"COMPLETA","TEMPORAL",0,0,0,30,0,1800,40,0,0,31,6,0,6,0,1055.07,0,0,576.24,0,214.68,123.77,1933.83,12,0,6,0,6,0,6,0,6,0,22496.68,3182.14,367.56,4,12.68,31,365,365,1631.31,1631.31,1292.86,22864.24,19314.54,174,9.37534482758621,1,1,4,"ALICANTE"
28023053,22,"MADRID","C4","3","PRIVADO","MNACIONAL","1","HOMBRE","ESPANOL","D0",0,"POSGRADO",0,4,"COMPLETA","TEMPORAL",0,0,0,30,3,1776,40,0,0,31,6,0,6,0,1776.88,0,0,260.25,260.25,152.99,149.34,2333.44,6,15,6,0,6,0,6,0,6,0,14219.82,6575.87636695018,1.47833130822195,2,15.33,31,197.52,197.52,2037.13,2037.13,1734.8,26278.4847104091,19701.1300121507,174,11.7076436781609,0,0,0.333333333333333,"MADRID"
36000259,25,"NOROESTE","C8","3","PRIVADO","MMUNDIAL","4","HOMBRE","ESPANOL","L0",0,"SECUNDARIA1",9,0,"COMPLETA","INDEFINIDO",0,0,0,30,7,1707,40,0,0,31,6,0,6,0,1824,0,0,578.79,0,803.14,178.65,2813.44,12,0,6,0,6,0,6,0,6,0,32855.67,5903.75,0,3,128.53,31,365,365,2402.79,2402.79,1421,32855.67,26951.92,174,13.8091379310345,0,0,9,"PONTEVEDRA"
